WHONET Organism Code	Local Organism Code	Organism Name	WHONET Organism Flag
saj	GRANULICATELLA ADIACENS (ABIOTROPHIA ADIACENS)	Granulicatella adiacens	
pro	PROPIONIBACTERIUM ACNES	Propionibacterium acnes	
shb	SHIGELLA FLEXNERI	Shigella flexneri	
efe	ESCHERICHIA FERGUSONII	Escherichia fergusonii	
spa	SPHINGOMONAS PAUCIMOBILIS	Sphingomonas paucimobilis	
ent	ENTEROCOCCUS Sp.	Enterococcus sp.	
bur	CAMPYLOBACTER UREOLYTICUS	Campylobacter ureolyticus	
pce	BURKHOLDERIA CEPACIA	Burkholderia cepacia	
sol	STREPTOCOCCUS ORALIS	Streptococcus oralis	
mch	MYCOBACTERIUM CHELONAE	Mycobacterium chelonae	
prp	PROPIONIBACTERIUM Sp.	Propionibacterium sp.	
cgu	CANDIDA GUILLIERMONDII	Candida guilliermondii	
buk	BURKHOLDERIA Sp.	Burkholderia sp.	
pml	PLASMODIUM MALARIAE	Plasmodium malariae	
